"roi_num","spatial_roi_num","x","y","z","MNI_Glasser_HCP_v1.0","Brainnetome_1.0","CA_ML_18_MNI"
16,51,-31,-20,62,"* Within 1 mm: L_Primary_Motor_Cortex","* Within 2 mm: A4ul_left","Focus point:  Left Precentral Gyrus"
37,52,-30,-45,60,"Focus point:  L_Area_2","Focus point:  A7pc_left","Focus point:  Left Superior Parietal Lobule"
53,53,-30,-6,-38,"Focus point:  L_Perirhinal_Ectorhinal_Cortex","Focus point:  A20rv_left","Focus point:  Left Fusiform Gyrus"
48,54,-29,40,30,"Focus point:  L_Area_9_Posterior","Focus point:  A9/46d_left","Focus point:  Left Middle Frontal Gyrus"
34,55,-28,-58,58,"Focus point:  L_Area_Lateral_IntraParietal_ventral","Focus point:  A7ip_left","Focus point:  Left Superior Parietal Lobule"
55,56,-28,9,-33,"Focus point:  L_Area_TG_dorsal","Focus point:  A38m_left","Focus point:  Left Medial Temporal Pole"
17,57,-27,-37,65,"Focus point:  L_Area_2","Focus point:  A1/2/3tru_left","Focus point:  Left Postcentral Gyrus"
71,58,-27,56,8,"Focus point:  L_Area_posterior_10p","Focus point:  A46_left","Focus point:  Left Middle Frontal Gyrus"
32,59,-26,-70,36,"Focus point:  L_Area_IntraParietal_1","Focus point:  A39c_left","Focus point:  Left Superior Occipital Gyrus"
98,60,-26,-32,-17,"Focus point:  L_ParaHippocampal_Area_1","Focus point:  TL_left","Focus point:  Left ParaHippocampal Gyrus"
2,61,-25,-94,-11,"* Within 1 mm: L_Third_Visual_Area","Focus point:  iOccG_left","Focus point:  Left Inferior Occipital Gyrus"
1,62,-24,-76,-13,"Focus point:  L_Eighth_Visual_Area","Focus point:  A37mv_left","Focus point:  Left Fusiform Gyrus"
7,63,-24,-53,-9,"Focus point:  L_VentroMedial_Visual_Area_2","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
4,64,-23,-96,6,"Focus point:  L_Third_Visual_Area","Focus point:  OPC_left","Focus point:  Left Middle Occipital Gyrus"
6,65,-23,-87,22,"Focus point:  L_Area_V3A","Focus point:  mOccG_left","Focus point:  Left Superior Occipital Gyrus"
51,66,-23,21,-20,"Focus point:  L_Area_13l","Focus point:  A11l_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
76,67,-23,24,48,"Focus point:  L_Area_8Ad","Focus point:  A8dl_left","Focus point:  Left Middle Frontal Gyrus"
61,68,-22,4,60,"Focus point:  L_Area_6m_anterior","Focus point:  A6dl_left","Focus point:  Left Superior Frontal Gyrus"
18,69,-21,-12,66,"Focus point:  L_Area_6mp","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
20,70,-20,-31,66,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A1/2/3tru_left","Focus point:  Left Postcentral Gyrus"
38,71,-17,-51,67,"Focus point:  L_Lateral_Area_7A","Focus point:  A7pc_left","Focus point:  Left Superior Parietal Lobule"
33,72,-16,-71,53,"* Within 1 mm: L_Lateral_Area_7P","Focus point:  A7c_left","Focus point:  Left Superior Parietal Lobule"
9,73,-14,-44,-3,"Focus point:  L_PreSubiculum","Focus point:  A23v_left","Focus point:  Left Lingual Gyrus"
11,74,-13,-72,22,"Focus point:  L_Second_Visual_Area","Focus point:  vmPOS_left","Focus point:  Left Cuneus"
81,75,-13,62,-5,"* Within 2 mm: L_Area_10r","Focus point:  A10l_left","Focus point:  Left Superior Orbital Gyrus"
10,76,-12,-70,7,"Focus point:  L_Primary_Visual_Cortex","Focus point:  vmPOS_left","Focus point:  Left Calcarine Gyrus"
89,77,-12,45,43,"Focus point:  L_Area_9_Posterior","Focus point:  A9l_left","Focus point:  Left Superior Frontal Gyrus"
97,78,-11,-56,13,"Focus point:  L_Parieto-Occipital_Sulcus_Area_1","Focus point:  dmPOS_left","Focus point:  Left Precuneus"
44,79,-11,-35,45,"Focus point:  L_Area_23c","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
8,80,-10,-66,-5,"Focus point:  L_Third_Visual_Area","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
52,81,-10,35,-20,"Focus point:  L_Orbital_Frontal_Complex","Focus point:  A11m_left","Focus point:  Left Rectal Gyrus"
72,82,-9,-72,37,"Focus point:  L_Parieto-Occipital_Sulcus_Area_2","Focus point:  dmPOS_left","Focus point:  Left Precuneus"
91,83,-9,16,61,"* Within 1 mm: L_Superior_Frontal_Language_Area","Focus point:  A8m_left","Focus point:  Left SMA"
88,84,-9,57,20,"Focus point:  L_Area_9_Middle","Focus point:  A10m_left","Focus point:  Left Superior Medial Gyrus"
12,85,-8,-87,27,"* Within 2 mm: L_Third_Visual_Area","Focus point:  msOccG_left","Focus point:  Left Cuneus"
19,86,-7,-30,64,"* Within 1 mm: L_Primary_Motor_Cortex","* Within 2 mm: A4ul_left","Focus point:  Left Paracentral Lobule"
13,87,-7,-12,46,"Focus point:  L_Dorsal_Area_24d","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
82,88,-7,43,8,"Focus point:  L_Area_posterior_24","Focus point:  A32sg_left","Focus point:  Left Anterior Cingulate Cortex"
79,89,-6,-53,42,"Focus point:  L_PreCuneus_Visual_Area","Focus point:  A31_left","Focus point:  Left Precuneus"
46,90,-6,-4,63,"Focus point:  L_Supplementary_And_Cingulate_Eye","* Within 1 mm: A6m_left","Focus point:  Left SMA"
45,91,-6,9,41,"Focus point:  L_Area_Posterior_24_prime","Focus point:  A24cd_left","Focus point:  Left Middle Cingulate Cortex"
50,92,-6,29,25,"Focus point:  L_Anterior_24_prime","Focus point:  A32p_left","Focus point:  Left Anterior Cingulate Cortex"
80,93,-6,35,-10,"Focus point:  L_Area_a24","Focus point:  A32sg_left","Focus point:  Left Mid Orbital Gyrus"
3,94,-5,-92,-3,"Focus point:  L_Primary_Visual_Cortex","Focus point:  cCunG_left","Focus point:  Left Calcarine Gyrus"
73,95,-5,-58,56,"Focus point:  L_Medial_Area_7A","Focus point:  A7m_left","Focus point:  Left Precuneus"
77,96,-5,-54,27,"Focus point:  L_Area_dorsal_23_a+b","Focus point:  A23d_left","Focus point:  Left Precuneus"
74,97,-4,-30,27,"Focus point:  L_RetroSplenial_Complex","Focus point:  A23d_left","* Within 3 mm: Left Posterior Cingulate Cortex"
90,98,-4,32,43,"Focus point:  L_Area_8BM","Focus point:  A9m_left","Focus point:  Left Superior Medial Gyrus"
78,99,-3,-28,38,"Focus point:  L_Area_dorsal_23_a+b","Focus point:  A23d_left","Focus point:  Left Middle Cingulate Cortex"
66,100,-3,3,30,"Focus point:  L_Area_33_prime","Focus point:  A24rv_left","Focus point:  Left Anterior Cingulate Cortex"
183,101,4,-25,30,"Focus point:  R_RetroSplenial_Complex","Focus point:  A23d_right","Focus point:  Right Middle Cingulate Cortex"
170,102,4,3,30,"Focus point:  R_Area_33_prime","Focus point:  A24rv_right","Focus point:  Right Middle Cingulate Cortex"
188,103,5,28,16,"Focus point:  R_Area_posterior_24","Focus point:  A24rv_right","Focus point:  Right Anterior Cingulate Cortex"
159,104,5,36,-14,"Focus point:  R_Area_s32","Focus point:  A14m_right","Focus point:  Right Mid Orbital Gyrus"
182,105,6,-57,44,"* Within 1 mm: R_PreCuneus_Visual_Area","Focus point:  A31_right","Focus point:  Right Precuneus"
186,106,6,-49,31,"Focus point:  R_Area_dorsal_23_a+b","Focus point:  A23d_right","Focus point:  Right Posterior Cingulate Cortex"
122,107,7,-24,66,"Focus point:  R_Primary_Motor_Cortex","Focus point:  A4ll_right","Focus point:  Right Paracentral Lobule"
115,108,7,-11,51,"Focus point:  R_Dorsal_Area_24d","Focus point:  A6m_right","Focus point:  Right Middle Cingulate Cortex"
147,109,7,8,40,"Focus point:  R_Area_Posterior_24_prime","Focus point:  A24cd_right","Focus point:  Right Middle Cingulate Cortex"
179,110,7,24,53,"Focus point:  R_Area_8BM","Focus point:  A8m_right","Focus point:  Right SMA"
156,111,7,29,28,"Focus point:  R_Area_posterior_24","Focus point:  A32p_right","Focus point:  Right Anterior Cingulate Cortex"
139,112,8,-56,59,"* Within 1 mm: R_Medial_Area_7A","Focus point:  A5m_right","Focus point:  Right Precuneus"
187,113,8,41,4,"Focus point:  R_Area_a24","Focus point:  A32sg_right","Focus point:  Right Anterior Cingulate Cortex"
109,114,9,-74,9,"Focus point:  R_Primary_Visual_Cortex","Focus point:  rCunG_right","Focus point:  Right Calcarine Gyrus"
148,115,9,-15,42,"Focus point:  R_Area_23c","Focus point:  A23c_right","Focus point:  Right Middle Cingulate Cortex"
150,116,9,2,63,"Focus point:  R_Supplementary_And_Cingulate_Eye","Focus point:  A6m_right","Focus point:  Right SMA"
189,117,9,56,19,"* Within 1 mm: R_Area_9_Middle","Focus point:  A10m_right","Focus point:  Right Superior Medial Gyrus"
121,118,10,-40,67,"Focus point:  R_Area_5m","Focus point:  A1/2/3ll_right","Focus point:  Right Paracentral Lobule"
111,119,11,-73,25,"* Within 1 mm: R_Second_Visual_Area","Focus point:  vmPOS_right","Focus point:  Right Cuneus"
149,120,11,-35,46,"Focus point:  R_Area_23c","Focus point:  A1/2/3ll_right","Focus point:  Right Middle Cingulate Cortex"
103,121,12,-90,-4,"* Within 1 mm: R_Second_Visual_Area","Focus point:  cLinG_right","Focus point:  Right Lingual Gyrus"
107,122,12,-63,-4,"Focus point:  R_Third_Visual_Area","Focus point:  rLinG_right","Focus point:  Right Lingual Gyrus"
157,123,12,38,-21,"Focus point:  R_Orbital_Frontal_Complex","Focus point:  A13_right","Focus point:  Right Rectal Gyrus"
195,124,13,-55,15,"Focus point:  R_Parieto-Occipital_Sulcus_Area_1","Focus point:  dmPOS_right","Focus point:  Right Precuneus"
134,125,14,-72,52,"Focus point:  R_Lateral_Area_7P","Focus point:  A7c_right","Focus point:  Right Superior Parietal Lobule"
181,126,14,-69,36,"Focus point:  R_Parieto-Occipital_Sulcus_Area_2","Focus point:  dmPOS_right","Focus point:  Right Cuneus"
108,127,15,-45,-2,"Focus point:  R_Second_Visual_Area","Focus point:  vmPOS_right","Focus point:  Right Lingual Gyrus"
192,128,15,44,43,"* Within 1 mm: R_Area_8B_Lateral","Focus point:  A9l_right","Focus point:  Right Superior Frontal Gyrus"
160,129,15,64,-7,"* Within 1 mm: R_Polar_10p","Focus point:  A10l_right","Focus point:  Right Mid Orbital Gyrus"
112,130,16,-83,39,"Focus point:  R_Sixth_Visual_Area","Focus point:  msOccG_right","Focus point:  Right Cuneus"
106,131,19,-88,22,"Focus point:  R_Area_V3A","Focus point:  OPC_right","Focus point:  Right Superior Occipital Gyrus"
140,132,20,-49,68,"Focus point:  R_Lateral_Area_7A","Focus point:  A7pc_right","Focus point:  Right Superior Parietal Lobule"
123,133,20,-30,67,"Focus point:  R_Primary_Sensory_Cortex","Focus point:  A1/2/3tru_right","Focus point:  Right Precentral Gyrus"
110,134,22,-60,7,"Focus point:  R_Second_Visual_Area","Focus point:  dmPOS_right","Focus point:  Right Calcarine Gyrus"
120,135,22,-10,64,"Focus point:  R_Area_6mp","Focus point:  A6cdl_right","Focus point:  Right Superior Frontal Gyrus"
180,136,22,22,53,"Focus point:  R_Superior_6-8_Transitional_Area","Focus point:  A8dl_right","Focus point:  Right Superior Frontal Gyrus"
136,137,25,-60,57,"Focus point:  R_Area_Lateral_IntraParietal_ventral","Focus point:  A7ip_right","Focus point:  Right Superior Parietal Lobule"
163,138,25,-11,-31,"* Within 1 mm: R_Hippocampus","* Within 1 mm: rHipp_right","Focus point:  Right ParaHippocampal Gyrus"
167,139,26,5,56,"Focus point:  R_Area_6_anterior","Focus point:  A6vl_right","Focus point:  Right Superior Frontal Gyrus"
101,140,27,-68,-12,"Focus point:  R_VentroMedial_Visual_Area_3","Focus point:  A37mv_right","Focus point:  Right Fusiform Gyrus"
196,141,27,-36,-14,"Focus point:  R_ParaHippocampal_Area_1","Focus point:  TL_right","Focus point:  Right Fusiform Gyrus"
185,142,27,27,44,"Focus point:  R_Area_8Ad","Focus point:  A9/46d_right","Focus point:  Right Middle Frontal Gyrus"
119,143,28,-34,63,"Focus point:  R_Area_2","Focus point:  A1/2/3tru_right","Focus point:  Right Postcentral Gyrus"
158,144,29,22,-18,"Focus point:  R_Area_47s","Focus point:  A11l_right","Focus point:  Right Insula Lobe"
178,145,29,57,6,"Focus point:  R_Area_posterior_10p","Focus point:  A46_right","Focus point:  Right Middle Frontal Gyrus"
104,146,30,-92,-3,"* Within 1 mm: R_Third_Visual_Area","Focus point:  OPC_right","Focus point:  Right Inferior Occipital Gyrus"
161,147,30,8,-37,"Focus point:  R_Area_TG_dorsal","Focus point:  A20r_right","Focus point:  Right Medial Temporal Pole"
153,148,30,46,27,"Focus point:  R_Area_9-46d","Focus point:  A46_right","Focus point:  Right Middle Frontal Gyrus"
133,149,32,-73,33,"Focus point:  R_IntraParietal_Sulcus_Area_1","Focus point:  lsOccG_right","Focus point:  Right Middle Occipital Gyrus"
118,150,32,-20,62,"* Within 2 mm: R_Primary_Motor_Cortex","* Within 1 mm: A4ul_right","Focus point:  Right Precentral Gyrus"
135,151,33,-50,50,"Focus point:  R_Anterior_IntraParietal_Area","Focus point:  A7ip_right","Focus point:  Right Inferior Parietal Lobule"
117,152,33,-41,61,"* Within 1 mm: R_Area_2","Focus point:  A5l_right","Focus point:  Right Postcentral Gyrus"
154,153,34,22,-7,"Focus point:  R_Anterior_Ventral_Insular_Area","Focus point:  A12/47l_right","Focus point:  Right Inferior Frontal Gyrus (p. Orbitalis)"
165,154,35,-63,44,"Focus point:  R_Area_IntraParietal_1","Focus point:  A39rd_right","Focus point:  Right Angular Gyrus"
155,155,35,24,6,"Focus point:  R_Area_Frontal_Opercular","Focus point:  dIa_right","Focus point:  Right Insula Lobe"
177,156,35,46,-11,"Focus point:  R_Area_anterior_47r","Focus point:  A11l_right","Focus point:  Right Middle Orbital Gyrus"
141,157,36,-4,51,"Focus point:  R_Area_6_anterior","Focus point:  A6cdl_right","Focus point:  Right Precentral Gyrus"
164,158,38,-36,-22,"Focus point:  R_Area_TF","Focus point:  A37lv_right","Focus point:  Right Fusiform Gyrus"
126,159,38,-14,15,"Focus point:  R_Insular_Granular_Complex","Focus point:  dIg_right","Focus point:  Right Insula Lobe"
116,160,39,-24,56,"Focus point:  R_Primary_Sensory_Cortex","Focus point:  A4ul_right","Focus point:  Right Precentral Gyrus"
175,161,39,30,37,"Focus point:  R_Area_8C","Focus point:  A8vl_right","Focus point:  Right Middle Frontal Gyrus"
105,162,40,-80,12,"Focus point:  R_Area_Lateral_Occipital_1","Focus point:  mOccG_right","Focus point:  Right Middle Occipital Gyrus"
138,163,40,-34,45,"Focus point:  R_Anterior_IntraParietal_Area","Focus point:  A40rd_right","Focus point:  Right SupraMarginal Gyrus"
144,164,41,5,-14,"* Within 1 mm: R_Posterior_Insular_Area_2","Focus point:  vId/vIg_right","Focus point:  Right Insula Lobe"
176,165,41,14,47,"* Within 1 mm: R_Area_8Av","Focus point:  IFJ_right","Focus point:  Right Middle Frontal Gyrus"
152,166,42,45,11,"Focus point:  R_Area_anterior_9-46v","Focus point:  A9/46v_right","Focus point:  Right Middle Frontal Gyrus"
127,167,43,-27,19,"Focus point:  R_Area_PFcm","Focus point:  A40rv_right","Focus point:  Right Rolandic Operculum"
146,168,43,7,5,"Focus point:  R_Frontal_Opercular_Area_1","Focus point:  A44op_right","Focus point:  Right Insula Lobe"
169,169,44,25,25,"Focus point:  R_Area_posterior_9-46v","Focus point:  A9/46v_right","Focus point:  Right Inferior Frontal Gyrus (p. Triangularis)"
166,170,45,-38,45,"Focus point:  R_Area_IntraParietal_2","Focus point:  A40rd_right","Focus point:  Right SupraMarginal Gyrus"
114,171,46,-11,47,"Focus point:  R_Primary_Motor_Cortex","Focus point:  A1/2/3ulhf_right","Focus point:  Right Precentral Gyrus"
145,172,46,-4,-3,"Focus point:  R_Posterior_Insular_Area_2","* Within 1 mm: TE1.0_1.2_right","Focus point:  Right Insula Lobe"
102,173,47,-73,-5,"Focus point:  R_Area_V4t","Focus point:  V5/MT+_right","Focus point:  Right Inferior Temporal Gyrus"
194,174,47,-70,28,"* Within 1 mm: R_Area_PGs","Focus point:  A39c_right","Focus point:  Right Middle Occipital Gyrus"
162,175,47,-13,-34,"Focus point:  R_Area_TF","Focus point:  A20iv_right","Focus point:  Right Inferior Temporal Gyrus"
191,176,47,12,-29,"Focus point:  R_Area_TG_dorsal","Focus point:  A21r_right","Focus point:  Right Medial Temporal Pole"
174,177,48,-46,49,"Focus point:  R_Area_PFm_Complex","Focus point:  A40c_right","Focus point:  Right Inferior Parietal Lobule"
173,178,49,-61,43,"Focus point:  R_Area_PGs","Focus point:  A39rv_right","Focus point:  Right Angular Gyrus"
131,179,49,-55,-14,"Focus point:  R_Area_PH","Focus point:  A37lv_right","Focus point:  Right Inferior Temporal Gyrus"
143,180,49,3,42,"Focus point:  R_Premotor_Eye_Fields","Focus point:  A6cvl_right","Focus point:  Right Precentral Gyrus"
132,181,50,-61,9,"Focus point:  R_Medial_Superior_Temporal_Area","Focus point:  A39c_right","Focus point:  Right Middle Temporal Gyrus"
113,182,50,-23,51,"Focus point:  R_Area_2","Focus point:  A2_right","Focus point:  Right Postcentral Gyrus"
193,183,50,29,1,"* Within 1 mm: R_Area__IFSa","Focus point:  A44op_right","Focus point:  Right Inferior Frontal Gyrus (p. Triangularis)"
198,184,51,-34,3,"Focus point:  R_Area_STSd_posterior","Focus point:  rpSTS_right","Focus point:  Right Middle Temporal Gyrus"
168,185,51,11,21,"Focus point:  R_Rostral_Area_6","Focus point:  A44d_right","Focus point:  Right Inferior Frontal Gyrus (p. Opercularis)"
124,186,52,-15,6,"Focus point:  R_Medial_Belt_Complex","Focus point:  TE1.0_1.2_right","Focus point:  Right Superior Temporal Gyrus"
184,187,53,-52,27,"Focus point:  R_Area_PGi","Focus point:  A39rv_right","Focus point:  Right Angular Gyrus"
199,188,55,-47,11,"Focus point:  R_Area_TemporoParietoOccipital_Junction_1","Focus point:  A39rv_right","Focus point:  Right Middle Temporal Gyrus"
197,189,55,-8,-9,"Focus point:  R_Area_STSd_anterior","Focus point:  aSTS_right","Focus point:  Right Superior Temporal Gyrus"
129,190,56,-14,16,"Focus point:  R_Area_OP4/PV","Focus point:  A1/2/3tonIa_right","Focus point:  Right Rolandic Operculum"
130,191,57,-6,30,"Focus point:  R_Primary_Sensory_Cortex","Focus point:  A1/2/3ulhf_right","Focus point:  Right Postcentral Gyrus"
137,192,58,-18,35,"Focus point:  R_Area_PFt","Focus point:  A40rd_right","Focus point:  Right Postcentral Gyrus"
151,193,59,-40,38,"* Within 1 mm: R_Area_PF_Complex","Focus point:  A40c_right","Focus point:  Right SupraMarginal Gyrus"
128,194,59,1,12,"Focus point:  R_Area_43","Focus point:  A4tl_right","Focus point:  Right Rolandic Operculum"
200,195,60,-40,17,"Focus point:  R_Superior_Temporal_Visual_Area","Focus point:  cpSTS_right","Focus point:  Right Superior Temporal Gyrus"
142,196,60,-28,29,"Focus point:  R_Area_PF_Complex","Focus point:  A40rv_right","Focus point:  Right SupraMarginal Gyrus"
171,197,60,-16,-20,"Focus point:  R_Area_TE1_anterior","Focus point:  A21c_right","Focus point:  Right Middle Temporal Gyrus"
172,198,61,-45,-10,"Focus point:  R_Area_TE1_posterior","Focus point:  A20cl_right","Focus point:  Right Inferior Temporal Gyrus"
190,199,62,-29,-4,"Focus point:  R_Area_STSv_posterior","Focus point:  aSTS_right","Focus point:  Right Middle Temporal Gyrus"
125,200,64,-26,8,"Focus point:  R_Auditory_4_Complex","Focus point:  A22c_right","Focus point:  Right Superior Temporal Gyrus"
