"roi_num","hemi","network","subregion"
154,"R","SalVenAttnB","PFCl3"
155,"R","SalVenAttnB","SPL1"
156,"R","SalVenAttnB","Temp1"
157,"R","SalVenAttnB","Temp2"
158,"R","DorsAttnA","ParOcc1"
159,"R","DorsAttnA","SPL1"
160,"R","DorsAttnA","SPL2"
161,"R","DorsAttnA","TempOcc1"
162,"R","DorsAttnA","TempPole1"
163,"R","DorsAttnB","IPL1"
164,"R","DorsAttnB","PostC1"
165,"R","DorsAttnB","PrCd1"
166,"R","DorsAttnB","SPL1"
167,"R","DorsAttnB","SPL2"
168,"R","Aud","Ins1"
169,"R","Aud","ParOper1"
170,"R","Aud","ST1"
171,"R","Aud","ST2"
172,"R","Aud","ST3"
173,"R","SomMotA","1"
174,"R","SomMotA","2"
175,"R","SomMotA","3"
176,"R","SomMotA","4"
177,"R","SomMotA","5"
178,"R","SomMotA","6"
179,"R","SomMotA","7"
180,"R","SomMotB","Ins1"
181,"R","SomMotB","1"
182,"R","SomMotB","2"
183,"R","SomMotB","3"
184,"R","SomMotB","4"
185,"R","VisualA","ExStr1"
186,"R","VisualA","ExStr2"
187,"R","VisualA","ExStr3"
188,"R","VisualA","ExStr4"
189,"R","VisualA","PrC1"
190,"R","VisualA","SPL1"
191,"R","VisualA","SPL2"
192,"R","VisualB","ExStrInf1"
193,"R","VisualB","ExStrInf2"
194,"R","VisualB","ExStrSup1"
195,"R","VisualB","ExStrSup2"
196,"R","VisualB","ExStrSup3"
197,"R","VisualB","Striate1"
198,"R","VisualB","Striate2"
199,"R","VisualB","Striate3"
200,"R","VisualC","ExStr1"
