"roi_num","spatial_roi_num","x","y","z","MNI_Glasser_HCP_v1.0","Brainnetome_1.0","CA_ML_18_MNI"
46,26,-53,-20,39,"Focus point:  L_Area_2","Focus point:  A2_left","Focus point:  Left Inferior Parietal Lobule"
153,27,-53,4,-11,"* Within 1 mm: L_Area_TA2","Focus point:  A22r_left","Focus point:  Left Superior Temporal Gyrus"
175,28,-53,21,13,"Focus point:  L_Area_45","Focus point:  A45c_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
129,29,-52,-52,44,"* Within 1 mm: L_Area_PFm_Complex","Focus point:  A40c_left","Focus point:  Left Inferior Parietal Lobule"
45,30,-52,-10,30,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
158,31,-51,-45,5,"Focus point:  L_Area_STSd_posterior","Focus point:  rpSTS_left","Focus point:  Left Middle Temporal Gyrus"
155,32,-51,-25,-5,"Focus point:  L_Area_STSd_posterior","Focus point:  A22c_left","Focus point:  Left Middle Temporal Gyrus"
105,33,-51,10,13,"Focus point:  L_Rostral_Area_6","Focus point:  A44v_left","Focus point:  Left Inferior Frontal Gyrus (p. Opercularis)"
32,34,-50,-10,1,"Focus point:  L_Medial_Belt_Complex","Focus point:  TE1.0_1.2_left","Focus point:  Left Superior Temporal Gyrus"
47,35,-50,-8,43,"* Within 1 mm: L_Area_55b","Focus point:  A4hf_left","Focus point:  Left Postcentral Gyrus"
104,36,-50,1,5,"Focus point:  L_Frontal_Opercular_Area_1","Focus point:  A4tl_left","Focus point:  Left Rolandic Operculum"
91,37,-49,1,37,"Focus point:  L_Premotor_Eye_Fields","Focus point:  A6cvl_left","Focus point:  Left Precentral Gyrus"
70,38,-48,-55,-15,"Focus point:  L_Area_TE2_posterior","Focus point:  A37lv_left","Focus point:  Left Inferior Temporal Gyrus"
41,39,-48,-25,18,"Focus point:  L_Area_OP1/SII","Focus point:  A40rv_left","Focus point:  Left Rolandic Operculum"
39,40,-48,-14,14,"Focus point:  L_Area_OP4/PV","Focus point:  A1/2/3tonIa_left","Focus point:  Left Rolandic Operculum"
90,41,-48,6,25,"Focus point:  L_Rostral_Area_6","Focus point:  A6cvl_left","Focus point:  Left Inferior Frontal Gyrus (p. Opercularis)"
162,42,-47,-64,29,"Focus point:  L_Area_PGi","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
51,43,-47,-19,53,"* Within 1 mm: L_Primary_Sensory_Cortex","* Within 1 mm: A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
48,44,-47,-17,39,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
172,45,-47,27,1,"* Within 1 mm: L_Area_45","Focus point:  A44op_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
72,46,-46,-68,14,"Focus point:  L_Medial_Superior_Temporal_Area","Focus point:  A39rv_left","Focus point:  Left Middle Temporal Gyrus"
165,47,-46,-62,46,"* Within 2 mm: L_Area_PFm_Complex","Focus point:  A39rd_left","Focus point:  Left Angular Gyrus"
52,48,-46,-30,56,"* Within 2 mm: L_Area_1","Focus point:  A2_left","Focus point:  Left Postcentral Gyrus"
170,49,-46,33,-10,"Focus point:  L_Area_47l_(47_lateral)","Focus point:  A12/47l_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
136,50,-46,35,11,"Focus point:  L_Area__IFSa","Focus point:  IFS_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
17,51,-45,-73,4,"Focus point:  L_Area_FST","Focus point:  V5/MT+_left","Focus point:  Left Middle Occipital Gyrus"
160,52,-45,-59,19,"Focus point:  L_Area_TemporoParietoOccipital_Junction_2","Focus point:  A39rv_left","Focus point:  Left Middle Temporal Gyrus"
132,53,-45,-43,47,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A40rd_left","Focus point:  Left Inferior Parietal Lobule"
69,54,-44,-42,-21,"Focus point:  L_Area_TE2_posterior","Focus point:  A37lv_left","Focus point:  Left Fusiform Gyrus"
97,55,-44,4,-16,"* Within 1 mm: L_Para-Insular_Area","Focus point:  A38l_left","Focus point:  Left Temporal Pole"
140,56,-44,21,27,"Focus point:  L_Area_8C","Focus point:  IFJ_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
8,57,-43,-71,-9,"Focus point:  L_Area_PH","Focus point:  A37lv_left","Focus point:  Left Inferior Occipital Gyrus"
76,58,-43,-30,39,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A40rd_left","Focus point:  Left Inferior Parietal Lobule"
124,59,-43,12,-33,"Focus point:  L_Area_TG_dorsal","Focus point:  A21r_left","Focus point:  Left Medial Temporal Pole"
103,60,-43,14,3,"Focus point:  L_Frontal_Opercular_Area_4","Focus point:  A44op_left","Focus point:  Left Insula Lobe"
185,61,-42,5,47,"Focus point:  L_Area_55b","Focus point:  IFJ_left","Focus point:  Left Precentral Gyrus"
161,62,-41,-78,28,"Focus point:  L_Area_PGp","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
38,63,-41,-35,15,"Focus point:  L_RetroInsular_Cortex","Focus point:  A40rv_left","Focus point:  Left Superior Temporal Gyrus"
139,64,-41,38,22,"* Within 1 mm: L_Area_46","Focus point:  A9/46v_left","Focus point:  Left Middle Frontal Gyrus"
135,65,-41,48,-5,"Focus point:  L_Area_posterior_47r","Focus point:  A12/47l_left","Focus point:  Left Middle Orbital Gyrus"
14,66,-40,-86,-5,"Focus point:  L_Posterior_InferoTemporal","Focus point:  iOccG_left","Focus point:  Left Middle Occipital Gyrus"
164,67,-40,-72,41,"Focus point:  L_Area_PGs","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
123,68,-40,-21,-25,"Focus point:  L_Area_TF","Focus point:  A37lv_left","Focus point:  Left Inferior Temporal Gyrus"
100,69,-40,-15,-1,"Focus point:  L_Area_Posterior_Insular_1","Focus point:  G_left","Focus point:  Left Superior Temporal Gyrus"
86,70,-40,-4,51,"Focus point:  L_Frontal_Eye_Fields","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
182,71,-40,16,46,"Focus point:  L_Area_8Av","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
131,72,-39,-53,46,"Focus point:  L_Area_PFm_Complex","Focus point:  A39rd_left","Focus point:  Left Inferior Parietal Lobule"
50,73,-39,-14,48,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4hf_left","Focus point:  Left Postcentral Gyrus"
98,74,-39,2,-4,"Focus point:  L_Posterior_Insular_Area_2","Focus point:  vId/vIg_left","Focus point:  Left Insula Lobe"
23,75,-38,-84,12,"Focus point:  L_Area_V3CD","Focus point:  mOccG_left","Focus point:  Left Middle Occipital Gyrus"
35,76,-38,-9,13,"Focus point:  L_Posterior_Insular_Area_2","Focus point:  dIg_left","Focus point:  Left Insula Lobe"
119,77,-38,-6,-41,"* Within 1 mm: L_Area_TF","Focus point:  A20rv_left","Focus point:  Left Inferior Temporal Gyrus"
137,78,-38,50,12,"Focus point:  L_Area_anterior_9-46v","Focus point:  A9/46v_left","Focus point:  Left Middle Frontal Gyrus"
53,79,-37,-26,49,"Focus point:  L_Area_3a","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
142,80,-37,30,37,"Focus point:  L_Area_46","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
79,81,-36,-37,44,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A2_left","Focus point:  Left Inferior Parietal Lobule"
36,82,-36,-26,19,"Focus point:  L_Area_OP2-3/VS","Focus point:  G_left","Focus point:  Left Rolandic Operculum"
34,83,-36,-24,11,"Focus point:  L_Medial_Belt_Complex","Focus point:  G_left","Focus point:  Left Heschls Gyrus"
102,84,-36,5,11,"Focus point:  L_Frontal_Opercular_Area_3","Focus point:  dId_left","Focus point:  Left Insula Lobe"
141,85,-36,7,33,"Focus point:  L_Area_8C","Focus point:  IFJ_left","Focus point:  Left Precentral Gyrus"
3,86,-35,-61,-17,"Focus point:  L_Ventral_Visual_Complex","Focus point:  A37mv_left","Focus point:  Left Fusiform Gyrus"
80,87,-35,-50,54,"Focus point:  L_Area_Lateral_IntraParietal_ventral","Focus point:  A5l_left","Focus point:  Left Inferior Parietal Lobule"
166,88,-35,22,-15,"Focus point:  L_Area_47s","Focus point:  A12/47o_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
167,89,-35,36,-12,"Focus point:  L_Area_47m","Focus point:  A12/47o_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
6,90,-34,-81,-15,"Focus point:  L_Eighth_Visual_Area","Focus point:  iOccG_left","Focus point:  Left Fusiform Gyrus"
130,91,-34,-63,46,"Focus point:  L_Area_Lateral_IntraParietal_dorsal","Focus point:  A39rd_left","Focus point:  Left Inferior Parietal Lobule"
57,92,-34,-19,62,"* Within 3 mm: L_Primary_Motor_Cortex","* Within 1 mm: A4ul_left","Focus point:  Left Precentral Gyrus"
143,93,-34,17,-8,"Focus point:  L_Anterior_Agranular_Insula_Complex","Focus point:  vIa_left","Focus point:  Left Insula Lobe"
77,94,-33,-46,39,"Focus point:  L_Area_Lateral_IntraParietal_dorsal","Focus point:  A5l_left","Focus point:  Left Inferior Parietal Lobule"
1,95,-32,-41,-21,"Focus point:  L_Ventral_Visual_Complex","Focus point:  A37mv_left","Focus point:  Left Fusiform Gyrus"
59,96,-32,-30,60,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A4ul_left","Focus point:  Left Precentral Gyrus"
125,97,-32,11,-29,"Focus point:  L_Area_TG_dorsal","Focus point:  A38m_left","Focus point:  Left Temporal Pole"
101,98,-32,20,9,"Focus point:  L_Frontal_Opercular_Area_4","Focus point:  dIa_left","Focus point:  Left Insula Lobe"
99,99,-32,26,0,"Focus point:  L_Anterior_Ventral_Insular_Area","Focus point:  A12/47l_left","Focus point:  Left Insula Lobe"
28,100,-31,-84,26,"Focus point:  L_Area_PGp","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
58,101,-30,-45,60,"Focus point:  L_Area_2","Focus point:  A7pc_left","Focus point:  Left Superior Parietal Lobule"
60,102,-30,-38,64,"Focus point:  L_Area_1","Focus point:  A2_left","Focus point:  Left Postcentral Gyrus"
2,103,-30,-33,-17,"* Within 1 mm: L_ParaHippocampal_Area_2","Focus point:  TL_left","Focus point:  Left Fusiform Gyrus"
88,104,-30,-9,49,"Focus point:  L_Area_6_anterior","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
127,105,-29,-74,40,"Focus point:  L_Area_IntraParietal_1","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
186,106,-29,13,55,"Focus point:  L_Inferior_6-8_Transitional_Area","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
106,107,-29,42,28,"Focus point:  L_Area_9-46d","Focus point:  A9/46d_left","Focus point:  Left Middle Frontal Gyrus"
78,108,-28,-58,48,"Focus point:  L_Area_Lateral_IntraParietal_ventral","Focus point:  A7ip_left","Focus point:  Left Inferior Parietal Lobule"
171,109,-28,57,0,"Focus point:  L_Area_anterior_10p","Focus point:  A46_left","Focus point:  Left Superior Frontal Gyrus"
73,110,-27,-70,29,"Focus point:  L_IntraParietal_Sulcus_Area_1","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
82,111,-27,-58,60,"Focus point:  L_Ventral_IntraParietal_Complex","Focus point:  A7ip_left","Focus point:  Left Superior Parietal Lobule"
134,112,-27,49,-13,"Focus point:  L_Area_11l","Focus point:  A11l_left","Focus point:  Left Middle Orbital Gyrus"
138,113,-27,54,13,"Focus point:  L_Area_9_anterior","Focus point:  A46_left","Focus point:  Left Middle Frontal Gyrus"
87,114,-26,-2,52,"Focus point:  L_Area_6_anterior","Focus point:  A6vl_left","Focus point:  Left Middle Frontal Gyrus"
120,115,-26,6,-37,"Focus point:  L_Area_TG_dorsal","Focus point:  A38m_left","Focus point:  Left Medial Temporal Pole"
27,116,-25,-85,20,"Focus point:  L_Area_V3B","Focus point:  lsOccG_left","Focus point:  Left Middle Occipital Gyrus"
4,117,-25,-55,-8,"Focus point:  L_VentroMedial_Visual_Area_2","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
61,118,-25,-12,61,"Focus point:  L_Area_6_anterior","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
121,119,-25,-9,-32,"* Within 1 mm: L_Entorhinal_Cortex","Focus point:  A35/36r_left","Focus point:  Left ParaHippocampal Gyrus"
181,120,-25,29,42,"Focus point:  L_Area_8Ad","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
19,121,-24,-95,6,"Focus point:  L_Third_Visual_Area","Focus point:  OPC_left","Focus point:  Left Middle Occipital Gyrus"
75,122,-24,-64,45,"Focus point:  L_Medial_IntraParietal_Area","Focus point:  A7c_left","Focus point:  Left Superior Parietal Lobule"
12,123,-23,-96,-11,"* Within 1 mm: L_Primary_Visual_Cortex","Focus point:  iOccG_left","Focus point:  Left Inferior Occipital Gyrus"
115,124,-23,22,-20,"Focus point:  L_Area_13l","Focus point:  A11l_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
5,125,-22,-74,-10,"Focus point:  L_Third_Visual_Area","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
180,126,-22,47,29,"* Within 1 mm: L_Area_9_anterior","Focus point:  A9/46d_left","Focus point:  Left Middle Frontal Gyrus"
31,127,-21,-77,43,"* Within 1 mm: L_IntraParietal_Sulcus_Area_1","Focus point:  lsOccG_left","Focus point:  Left Superior Occipital Gyrus"
62,128,-21,-25,64,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4ul_left","Focus point:  Left Precentral Gyrus"
126,129,-21,-21,-25,"Focus point:  L_PreSubiculum","* Within 1 mm: A28/34_left","Focus point:  Left ParaHippocampal Gyrus"
89,130,-21,3,62,"Focus point:  L_Area_6_anterior","Focus point:  A6dl_left","Focus point:  Left Superior Frontal Gyrus"
187,131,-21,20,49,"Focus point:  L_Superior_6-8_Transitional_Area","Focus point:  A8dl_left","Focus point:  Left Middle Frontal Gyrus"
22,132,-20,-65,7,"Focus point:  L_Second_Visual_Area","Focus point:  vmPOS_left","Focus point:  Left Calcarine Gyrus"
84,133,-20,-54,65,"Focus point:  L_Lateral_Area_7A","Focus point:  A7pc_left","Focus point:  Left Superior Parietal Lobule"
66,134,-19,-31,66,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A1/2/3tru_left","Focus point:  Left Postcentral Gyrus"
67,135,-18,-39,69,"Focus point:  L_Area_2","Focus point:  A1/2/3tru_left","Focus point:  Left Postcentral Gyrus"
7,136,-18,-37,-12,"Focus point:  L_PreSubiculum","Focus point:  TH_left","Focus point:  Left ParaHippocampal Gyrus"
184,137,-18,35,46,"Focus point:  L_Area_8Ad","Focus point:  A8dl_left","Focus point:  Left Superior Frontal Gyrus"
176,138,-17,65,9,"Focus point:  L_Area_10d","Focus point:  A10m_left","Focus point:  Left Superior Frontal Gyrus"
9,139,-16,-86,-13,"* Within 1 mm: L_Third_Visual_Area","Focus point:  cLinG_left","Focus point:  Left Lingual Gyrus"
29,140,-15,-88,32,"Focus point:  L_Area_V3A","Focus point:  msOccG_left","Focus point:  Left Superior Occipital Gyrus"
81,141,-15,-69,56,"Focus point:  L_Lateral_Area_7P","Focus point:  A7c_left","Focus point:  Left Superior Parietal Lobule"
65,142,-15,-13,70,"Focus point:  L_Area_6mp","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
179,143,-15,56,31,"Focus point:  L_Area_9_anterior","Focus point:  A9l_left","Focus point:  Left Superior Frontal Gyrus"
118,144,-15,64,-8,"Focus point:  L_Polar_10p","Focus point:  A10l_left","Focus point:  Left Superior Orbital Gyrus"
16,145,-14,-56,1,"Focus point:  L_Primary_Visual_Cortex","Focus point:  vmPOS_left","Focus point:  Left Lingual Gyrus"
30,146,-13,-80,35,"Focus point:  L_Sixth_Visual_Area","Focus point:  msOccG_left","Focus point:  Left Cuneus"
26,147,-13,-70,20,"Focus point:  L_Second_Visual_Area","Focus point:  vmPOS_left","Focus point:  Left Cuneus"
191,148,-13,-61,19,"Focus point:  L_Parieto-Occipital_Sulcus_Area_1","Focus point:  dmPOS_left","Focus point:  Left Calcarine Gyrus"
10,149,-13,-60,-5,"Focus point:  L_Second_Visual_Area","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
20,150,-13,-50,4,"Focus point:  L_Parieto-Occipital_Sulcus_Area_1","Focus point:  A23v_left","Focus point:  Left Calcarine Gyrus"
85,151,-13,-49,71,"Focus point:  L_Area_5L","Focus point:  A5m_left","Focus point:  Left Precuneus"
13,152,-13,-42,-5,"Focus point:  L_PreSubiculum","Focus point:  TH_left","Focus point:  Left Lingual Gyrus"
111,153,-12,-40,46,"Focus point:  L_Area_23c","Focus point:  A5m_left","Focus point:  Left Precuneus"
114,154,-12,23,-20,"Focus point:  L_Orbital_Frontal_Complex","Focus point:  A13_left","Focus point:  Left Superior Orbital Gyrus"
188,155,-12,23,59,"Focus point:  L_Superior_Frontal_Language_Area","Focus point:  A8dl_left","Focus point:  Left Superior Medial Gyrus"
24,156,-11,-96,17,"Focus point:  L_Second_Visual_Area","Focus point:  OPC_left","Focus point:  Left Superior Occipital Gyrus"
68,157,-11,-28,70,"* Within 1 mm: L_Primary_Motor_Cortex","Focus point:  A4ul_left","Focus point:  Left Paracentral Lobule"
109,158,-11,-26,40,"Focus point:  L_Area_23c","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
116,159,-11,46,-21,"Focus point:  L_Orbital_Frontal_Complex","Focus point:  A11m_left","Focus point:  Left Superior Orbital Gyrus"
194,160,-10,-69,32,"Focus point:  L_Parieto-Occipital_Sulcus_Area_2","Focus point:  dmPOS_left","Focus point:  Left Precuneus"
54,161,-9,-37,52,"Focus point:  L_Area_5m","Focus point:  A1/2/3ll_left","Focus point:  Left Middle Cingulate Cortex"
144,162,-8,-75,44,"* Within 1 mm: L_Parieto-Occipital_Sulcus_Area_2","Focus point:  dmPOS_left","Focus point:  Left Precuneus"
21,163,-8,-74,9,"Focus point:  L_Primary_Visual_Cortex","Focus point:  rCunG_left","Focus point:  Left Calcarine Gyrus"
63,164,-8,-41,68,"* Within 2 mm: L_Area_5m","Focus point:  A1/2/3ll_left","Focus point:  Left Precuneus"
49,165,-8,-14,46,"Focus point:  L_Dorsal_Area_24d","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
113,166,-8,-5,68,"Focus point:  L_Supplementary_And_Cingulate_Eye","Focus point:  A6m_left","Focus point:  Left SMA"
183,167,-8,42,49,"* Within 1 mm: L_Area_8B_Lateral","Focus point:  A9l_left","Focus point:  Left Superior Medial Gyrus"
15,168,-7,-96,-6,"* Within 1 mm: L_Primary_Visual_Cortex","Focus point:  cCunG_left","Focus point:  Left Calcarine Gyrus"
83,169,-7,-57,61,"Focus point:  L_Medial_Area_7A","Focus point:  A7m_left","Focus point:  Left Precuneus"
190,170,-7,-53,8,"Focus point:  L_Parieto-Occipital_Sulcus_Area_1","Focus point:  A23v_left","Focus point:  Left Precuneus"
196,171,-7,-43,33,"Focus point:  L_Area_dorsal_23_a+b","Focus point:  A23d_left","Focus point:  Left Middle Cingulate Cortex"
108,172,-7,0,40,"Focus point:  L_Area_Posterior_24_prime","Focus point:  A24cd_left","Focus point:  Left Middle Cingulate Cortex"
174,173,-7,43,6,"Focus point:  L_Area_posterior_24","Focus point:  A32sg_left","Focus point:  Left Anterior Cingulate Cortex"
173,174,-7,56,8,"Focus point:  L_Area_9_Middle","Focus point:  A10m_left","Focus point:  Left Superior Medial Gyrus"
11,175,-6,-74,-5,"Focus point:  L_Second_Visual_Area","Focus point:  rCunG_left","Focus point:  Left Lingual Gyrus"
200,176,-6,-50,42,"Focus point:  L_PreCuneus_Visual_Area","Focus point:  A31_left","Focus point:  Left Precuneus"
112,177,-6,-47,55,"Focus point:  L_PreCuneus_Visual_Area","Focus point:  A5m_left","Focus point:  Left Precuneus"
110,178,-6,8,47,"Focus point:  L_Ventral_Area_24d","Focus point:  A8m_left","Focus point:  Left SMA"
189,179,-6,9,63,"Focus point:  L_Superior_Frontal_Language_Area","Focus point:  A8m_left","Focus point:  Left SMA"
107,180,-6,21,31,"Focus point:  L_Anterior_24_prime","Focus point:  A32p_left","Focus point:  Left Anterior Cingulate Cortex"
177,181,-6,33,21,"Focus point:  L_Area_posterior_24","Focus point:  A32p_left","Focus point:  Left Anterior Cingulate Cortex"
169,182,-6,34,-9,"Focus point:  L_Area_a24","Focus point:  A32sg_left","Focus point:  Left Mid Orbital Gyrus"
18,183,-5,-87,2,"Focus point:  L_Primary_Visual_Cortex","Focus point:  rCunG_left","Focus point:  Left Calcarine Gyrus"
195,184,-5,-59,30,"Focus point:  L_Area_31pd","Focus point:  A31_left","Focus point:  Left Precuneus"
178,185,-5,50,29,"Focus point:  L_Area_dorsal_32","Focus point:  A10m_left","Focus point:  Left Superior Medial Gyrus"
168,186,-5,54,-10,"Focus point:  L_Area_10r","Focus point:  A14m_left","Focus point:  Left Mid Orbital Gyrus"
145,187,-4,-62,51,"Focus point:  L_Medial_Area_7P","Focus point:  A7m_left","Focus point:  Left Precuneus"
193,188,-4,-40,23,"Focus point:  L_RetroSplenial_Complex","Focus point:  A23v_left","Focus point:  Left Posterior Cingulate Cortex"
55,189,-4,-25,54,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4ll_left","Focus point:  Left Paracentral Lobule"
64,190,-4,-25,67,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4ll_left","Focus point:  Left Paracentral Lobule"
56,191,-4,-9,57,"Focus point:  L_Dorsal_Area_24d","Focus point:  A6m_left","Focus point:  Left SMA"
117,192,-4,22,-19,"Focus point:  L_Area_25","Focus point:  A13_left","Focus point:  Left Rectal Gyrus"
148,193,-4,27,46,"Focus point:  L_Area_8BM","Focus point:  A9m_left","Focus point:  Left Superior Medial Gyrus"
25,194,-3,-83,24,"Focus point:  L_Second_Visual_Area","Focus point:  rCunG_left","Focus point:  Left Cuneus"
199,195,-3,-66,41,"Focus point:  L_Area_7m","Focus point:  A7m_left","Focus point:  Left Precuneus"
192,196,-3,-53,20,"Focus point:  L_Area_ventral_23_a+b","Focus point:  A31_left","Focus point:  Left Precuneus"
197,197,-3,-31,39,"Focus point:  L_Area_31a","Focus point:  A23d_left","Focus point:  Left Middle Cingulate Cortex"
147,198,-3,-21,29,"Focus point:  L_RetroSplenial_Complex","Focus point:  A23d_left","* Within 3 mm: Right Middle Cingulate Cortex"
146,199,-3,4,29,"Focus point:  L_Area_33_prime","Focus point:  A24rv_left","Focus point:  Left Anterior Cingulate Cortex"
198,200,-2,-14,39,"Focus point:  L_Area_23d","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
398,201,3,-18,38,"Focus point:  R_Area_23d","Focus point:  A23c_right","Focus point:  Right Middle Cingulate Cortex"
260,202,4,-25,57,"Focus point:  R_Primary_Motor_Cortex","Focus point:  A4ll_right","Focus point:  Right SMA"
359,203,4,1,31,"Focus point:  R_Area_33_prime","Focus point:  A24rv_right","Focus point:  Right Middle Cingulate Cortex"
225,204,5,-79,22,"Focus point:  R_Second_Visual_Area","Focus point:  rCunG_right","Focus point:  Right Cuneus"
396,205,5,-62,32,"Focus point:  R_Area_7m","Focus point:  A31_right","Focus point:  Right Precuneus"
395,206,5,-51,24,"Focus point:  R_Area_ventral_23_a+b","Focus point:  A31_right","Focus point:  Right Precuneus"
358,207,5,-24,28,"Focus point:  R_RetroSplenial_Complex","Focus point:  A23d_right","* Within 2 mm: Right Middle Cingulate Cortex"
268,208,5,-23,70,"Focus point:  R_Primary_Motor_Cortex","Focus point:  A4ll_right","Focus point:  Right Paracentral Lobule"
323,209,5,22,-21,"Focus point:  R_Orbital_Frontal_Complex","Focus point:  A13_right","Focus point:  Right Rectal Gyrus"
384,210,5,24,19,"Focus point:  R_Area_33_prime","Focus point:  A24rv_right","Focus point:  Right Anterior Cingulate Cortex"
