"roi_num","spatial_roi_num","x","y","z","MNI_Glasser_HCP_v1.0","Brainnetome_1.0","CA_ML_18_MNI"
3,90,-34,-81,-15,"Focus point:  L_Eighth_Visual_Area","Focus point:  iOccG_left","Focus point:  Left Fusiform Gyrus"
124,91,-34,-63,46,"Focus point:  L_Area_Lateral_IntraParietal_dorsal","Focus point:  A39rd_left","Focus point:  Left Inferior Parietal Lobule"
33,92,-34,-19,62,"* Within 3 mm: L_Primary_Motor_Cortex","* Within 1 mm: A4ul_left","Focus point:  Left Precentral Gyrus"
104,93,-34,17,-8,"Focus point:  L_Anterior_Agranular_Insula_Complex","Focus point:  vIa_left","Focus point:  Left Insula Lobe"
126,94,-33,-46,39,"Focus point:  L_Area_Lateral_IntraParietal_dorsal","Focus point:  A5l_left","Focus point:  Left Inferior Parietal Lobule"
61,95,-32,-41,-21,"Focus point:  L_Ventral_Visual_Complex","Focus point:  A37mv_left","Focus point:  Left Fusiform Gyrus"
34,96,-32,-30,60,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A4ul_left","Focus point:  Left Precentral Gyrus"
119,97,-32,11,-29,"Focus point:  L_Area_TG_dorsal","Focus point:  A38m_left","Focus point:  Left Temporal Pole"
91,98,-32,20,9,"Focus point:  L_Frontal_Opercular_Area_4","Focus point:  dIa_left","Focus point:  Left Insula Lobe"
105,99,-32,26,0,"Focus point:  L_Anterior_Ventral_Insular_Area","Focus point:  A12/47l_left","Focus point:  Left Insula Lobe"
65,100,-31,-84,26,"Focus point:  L_Area_PGp","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
78,101,-30,-45,60,"Focus point:  L_Area_2","Focus point:  A7pc_left","Focus point:  Left Superior Parietal Lobule"
35,102,-30,-38,64,"Focus point:  L_Area_1","Focus point:  A2_left","Focus point:  Left Postcentral Gyrus"
193,103,-30,-33,-17,"* Within 1 mm: L_ParaHippocampal_Area_2","Focus point:  TL_left","Focus point:  Left Fusiform Gyrus"
84,104,-30,-9,49,"Focus point:  L_Area_6_anterior","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
122,105,-29,-74,40,"Focus point:  L_Area_IntraParietal_1","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
139,106,-29,13,55,"Focus point:  L_Inferior_6-8_Transitional_Area","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
102,107,-29,42,28,"Focus point:  L_Area_9-46d","Focus point:  A9/46d_left","Focus point:  Left Middle Frontal Gyrus"
69,108,-28,-58,48,"Focus point:  L_Area_Lateral_IntraParietal_ventral","Focus point:  A7ip_left","Focus point:  Left Inferior Parietal Lobule"
141,109,-28,57,0,"Focus point:  L_Area_anterior_10p","Focus point:  A46_left","Focus point:  Left Superior Frontal Gyrus"
66,110,-27,-70,29,"Focus point:  L_IntraParietal_Sulcus_Area_1","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
72,111,-27,-58,60,"Focus point:  L_Ventral_IntraParietal_Complex","Focus point:  A7ip_left","Focus point:  Left Superior Parietal Lobule"
107,112,-27,49,-13,"Focus point:  L_Area_11l","Focus point:  A11l_left","Focus point:  Left Middle Orbital Gyrus"
142,113,-27,54,13,"Focus point:  L_Area_9_anterior","Focus point:  A46_left","Focus point:  Left Middle Frontal Gyrus"
83,114,-26,-2,52,"Focus point:  L_Area_6_anterior","Focus point:  A6vl_left","Focus point:  Left Middle Frontal Gyrus"
115,115,-26,6,-37,"Focus point:  L_Area_TG_dorsal","Focus point:  A38m_left","Focus point:  Left Medial Temporal Pole"
12,116,-25,-85,20,"Focus point:  L_Area_V3B","Focus point:  lsOccG_left","Focus point:  Left Middle Occipital Gyrus"
13,117,-25,-55,-8,"Focus point:  L_VentroMedial_Visual_Area_2","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
36,118,-25,-12,61,"Focus point:  L_Area_6_anterior","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
116,119,-25,-9,-32,"* Within 1 mm: L_Entorhinal_Cortex","Focus point:  A35/36r_left","Focus point:  Left ParaHippocampal Gyrus"
151,120,-25,29,42,"Focus point:  L_Area_8Ad","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
9,121,-24,-95,6,"Focus point:  L_Third_Visual_Area","Focus point:  OPC_left","Focus point:  Left Middle Occipital Gyrus"
68,122,-24,-64,45,"Focus point:  L_Medial_IntraParietal_Area","Focus point:  A7c_left","Focus point:  Left Superior Parietal Lobule"
5,123,-23,-96,-11,"* Within 1 mm: L_Primary_Visual_Cortex","Focus point:  iOccG_left","Focus point:  Left Inferior Occipital Gyrus"
110,124,-23,22,-20,"Focus point:  L_Area_13l","Focus point:  A11l_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
2,125,-22,-74,-10,"Focus point:  L_Third_Visual_Area","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
177,126,-22,47,29,"* Within 1 mm: L_Area_9_anterior","Focus point:  A9/46d_left","Focus point:  Left Middle Frontal Gyrus"
67,127,-21,-77,43,"* Within 1 mm: L_IntraParietal_Sulcus_Area_1","Focus point:  lsOccG_left","Focus point:  Left Superior Occipital Gyrus"
37,128,-21,-25,64,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4ul_left","Focus point:  Left Precentral Gyrus"
192,129,-21,-21,-25,"Focus point:  L_PreSubiculum","* Within 1 mm: A28/34_left","Focus point:  Left ParaHippocampal Gyrus"
127,130,-21,3,62,"Focus point:  L_Area_6_anterior","Focus point:  A6dl_left","Focus point:  Left Superior Frontal Gyrus"
153,131,-21,20,49,"Focus point:  L_Superior_6-8_Transitional_Area","Focus point:  A8dl_left","Focus point:  Left Middle Frontal Gyrus"
20,132,-20,-65,7,"Focus point:  L_Second_Visual_Area","Focus point:  vmPOS_left","Focus point:  Left Calcarine Gyrus"
80,133,-20,-54,65,"Focus point:  L_Lateral_Area_7A","Focus point:  A7pc_left","Focus point:  Left Superior Parietal Lobule"
41,134,-19,-31,66,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A1/2/3tru_left","Focus point:  Left Postcentral Gyrus"
42,135,-18,-39,69,"Focus point:  L_Area_2","Focus point:  A1/2/3tru_left","Focus point:  Left Postcentral Gyrus"
194,136,-18,-37,-12,"Focus point:  L_PreSubiculum","Focus point:  TH_left","Focus point:  Left ParaHippocampal Gyrus"
152,137,-18,35,46,"Focus point:  L_Area_8Ad","Focus point:  A8dl_left","Focus point:  Left Superior Frontal Gyrus"
165,138,-17,65,9,"Focus point:  L_Area_10d","Focus point:  A10m_left","Focus point:  Left Superior Frontal Gyrus"
4,139,-16,-86,-13,"* Within 1 mm: L_Third_Visual_Area","Focus point:  cLinG_left","Focus point:  Left Lingual Gyrus"
23,140,-15,-88,32,"Focus point:  L_Area_V3A","Focus point:  msOccG_left","Focus point:  Left Superior Occipital Gyrus"
71,141,-15,-69,56,"Focus point:  L_Lateral_Area_7P","Focus point:  A7c_left","Focus point:  Left Superior Parietal Lobule"
40,142,-15,-13,70,"Focus point:  L_Area_6mp","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
176,143,-15,56,31,"Focus point:  L_Area_9_anterior","Focus point:  A9l_left","Focus point:  Left Superior Frontal Gyrus"
113,144,-15,64,-8,"Focus point:  L_Polar_10p","Focus point:  A10l_left","Focus point:  Left Superior Orbital Gyrus"
17,145,-14,-56,1,"Focus point:  L_Primary_Visual_Cortex","Focus point:  vmPOS_left","Focus point:  Left Lingual Gyrus"
24,146,-13,-80,35,"Focus point:  L_Sixth_Visual_Area","Focus point:  msOccG_left","Focus point:  Left Cuneus"
22,147,-13,-70,20,"Focus point:  L_Second_Visual_Area","Focus point:  vmPOS_left","Focus point:  Left Cuneus"
191,148,-13,-61,19,"Focus point:  L_Parieto-Occipital_Sulcus_Area_1","Focus point:  dmPOS_left","Focus point:  Left Calcarine Gyrus"
14,149,-13,-60,-5,"Focus point:  L_Second_Visual_Area","Focus point:  rLinG_left","Focus point:  Left Lingual Gyrus"
189,150,-13,-50,4,"Focus point:  L_Parieto-Occipital_Sulcus_Area_1","Focus point:  A23v_left","Focus point:  Left Calcarine Gyrus"
81,151,-13,-49,71,"Focus point:  L_Area_5L","Focus point:  A5m_left","Focus point:  Left Precuneus"
16,152,-13,-42,-5,"Focus point:  L_PreSubiculum","Focus point:  TH_left","Focus point:  Left Lingual Gyrus"
96,153,-12,-40,46,"Focus point:  L_Area_23c","Focus point:  A5m_left","Focus point:  Left Precuneus"
109,154,-12,23,-20,"Focus point:  L_Orbital_Frontal_Complex","Focus point:  A13_left","Focus point:  Left Superior Orbital Gyrus"
179,155,-12,23,59,"Focus point:  L_Superior_Frontal_Language_Area","Focus point:  A8dl_left","Focus point:  Left Superior Medial Gyrus"
11,156,-11,-96,17,"Focus point:  L_Second_Visual_Area","Focus point:  OPC_left","Focus point:  Left Superior Occipital Gyrus"
43,157,-11,-28,70,"* Within 1 mm: L_Primary_Motor_Cortex","Focus point:  A4ul_left","Focus point:  Left Paracentral Lobule"
95,158,-11,-26,40,"Focus point:  L_Area_23c","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
111,159,-11,46,-21,"Focus point:  L_Orbital_Frontal_Complex","Focus point:  A11m_left","Focus point:  Left Superior Orbital Gyrus"
144,160,-10,-69,32,"Focus point:  L_Parieto-Occipital_Sulcus_Area_2","Focus point:  dmPOS_left","Focus point:  Left Precuneus"
30,161,-9,-37,52,"Focus point:  L_Area_5m","Focus point:  A1/2/3ll_left","Focus point:  Left Middle Cingulate Cortex"
145,162,-8,-75,44,"* Within 1 mm: L_Parieto-Occipital_Sulcus_Area_2","Focus point:  dmPOS_left","Focus point:  Left Precuneus"
19,163,-8,-74,9,"Focus point:  L_Primary_Visual_Cortex","Focus point:  rCunG_left","Focus point:  Left Calcarine Gyrus"
38,164,-8,-41,68,"* Within 2 mm: L_Area_5m","Focus point:  A1/2/3ll_left","Focus point:  Left Precuneus"
25,165,-8,-14,46,"Focus point:  L_Dorsal_Area_24d","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
100,166,-8,-5,68,"Focus point:  L_Supplementary_And_Cingulate_Eye","Focus point:  A6m_left","Focus point:  Left SMA"
178,167,-8,42,49,"* Within 1 mm: L_Area_8B_Lateral","Focus point:  A9l_left","Focus point:  Left Superior Medial Gyrus"
7,168,-7,-96,-6,"* Within 1 mm: L_Primary_Visual_Cortex","Focus point:  cCunG_left","Focus point:  Left Calcarine Gyrus"
79,169,-7,-57,61,"Focus point:  L_Medial_Area_7A","Focus point:  A7m_left","Focus point:  Left Precuneus"
190,170,-7,-53,8,"Focus point:  L_Parieto-Occipital_Sulcus_Area_1","Focus point:  A23v_left","Focus point:  Left Precuneus"
156,171,-7,-43,33,"Focus point:  L_Area_dorsal_23_a+b","Focus point:  A23d_left","Focus point:  Left Middle Cingulate Cortex"
98,172,-7,0,40,"Focus point:  L_Area_Posterior_24_prime","Focus point:  A24cd_left","Focus point:  Left Middle Cingulate Cortex"
164,173,-7,43,6,"Focus point:  L_Area_posterior_24","Focus point:  A32sg_left","Focus point:  Left Anterior Cingulate Cortex"
163,174,-7,56,8,"Focus point:  L_Area_9_Middle","Focus point:  A10m_left","Focus point:  Left Superior Medial Gyrus"
15,175,-6,-74,-5,"Focus point:  L_Second_Visual_Area","Focus point:  rCunG_left","Focus point:  Left Lingual Gyrus"
160,176,-6,-50,42,"Focus point:  L_PreCuneus_Visual_Area","Focus point:  A31_left","Focus point:  Left Precuneus"
97,177,-6,-47,55,"Focus point:  L_PreCuneus_Visual_Area","Focus point:  A5m_left","Focus point:  Left Precuneus"
99,178,-6,8,47,"Focus point:  L_Ventral_Area_24d","Focus point:  A8m_left","Focus point:  Left SMA"
180,179,-6,9,63,"Focus point:  L_Superior_Frontal_Language_Area","Focus point:  A8m_left","Focus point:  Left SMA"
108,180,-6,21,31,"Focus point:  L_Anterior_24_prime","Focus point:  A32p_left","Focus point:  Left Anterior Cingulate Cortex"
166,181,-6,33,21,"Focus point:  L_Area_posterior_24","Focus point:  A32p_left","Focus point:  Left Anterior Cingulate Cortex"
162,182,-6,34,-9,"Focus point:  L_Area_a24","Focus point:  A32sg_left","Focus point:  Left Mid Orbital Gyrus"
18,183,-5,-87,2,"Focus point:  L_Primary_Visual_Cortex","Focus point:  rCunG_left","Focus point:  Left Calcarine Gyrus"
155,184,-5,-59,30,"Focus point:  L_Area_31pd","Focus point:  A31_left","Focus point:  Left Precuneus"
175,185,-5,50,29,"Focus point:  L_Area_dorsal_32","Focus point:  A10m_left","Focus point:  Left Superior Medial Gyrus"
161,186,-5,54,-10,"Focus point:  L_Area_10r","Focus point:  A14m_left","Focus point:  Left Mid Orbital Gyrus"
146,187,-4,-62,51,"Focus point:  L_Medial_Area_7P","Focus point:  A7m_left","Focus point:  Left Precuneus"
147,188,-4,-40,23,"Focus point:  L_RetroSplenial_Complex","Focus point:  A23v_left","Focus point:  Left Posterior Cingulate Cortex"
31,189,-4,-25,54,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4ll_left","Focus point:  Left Paracentral Lobule"
39,190,-4,-25,67,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4ll_left","Focus point:  Left Paracentral Lobule"
32,191,-4,-9,57,"Focus point:  L_Dorsal_Area_24d","Focus point:  A6m_left","Focus point:  Left SMA"
112,192,-4,22,-19,"Focus point:  L_Area_25","Focus point:  A13_left","Focus point:  Left Rectal Gyrus"
143,193,-4,27,46,"Focus point:  L_Area_8BM","Focus point:  A9m_left","Focus point:  Left Superior Medial Gyrus"
21,194,-3,-83,24,"Focus point:  L_Second_Visual_Area","Focus point:  rCunG_left","Focus point:  Left Cuneus"
159,195,-3,-66,41,"Focus point:  L_Area_7m","Focus point:  A7m_left","Focus point:  Left Precuneus"
154,196,-3,-53,20,"Focus point:  L_Area_ventral_23_a+b","Focus point:  A31_left","Focus point:  Left Precuneus"
157,197,-3,-31,39,"Focus point:  L_Area_31a","Focus point:  A23d_left","Focus point:  Left Middle Cingulate Cortex"
148,198,-3,-21,29,"Focus point:  L_RetroSplenial_Complex","Focus point:  A23d_left","* Within 3 mm: Right Middle Cingulate Cortex"
133,199,-3,4,29,"Focus point:  L_Area_33_prime","Focus point:  A24rv_left","Focus point:  Left Anterior Cingulate Cortex"
158,200,-2,-14,39,"Focus point:  L_Area_23d","Focus point:  A23c_left","Focus point:  Left Middle Cingulate Cortex"
366,201,3,-18,38,"Focus point:  R_Area_23d","Focus point:  A23c_right","Focus point:  Right Middle Cingulate Cortex"
234,202,4,-25,57,"Focus point:  R_Primary_Motor_Cortex","Focus point:  A4ll_right","Focus point:  Right SMA"
335,203,4,1,31,"Focus point:  R_Area_33_prime","Focus point:  A24rv_right","Focus point:  Right Middle Cingulate Cortex"
221,204,5,-79,22,"Focus point:  R_Second_Visual_Area","Focus point:  rCunG_right","Focus point:  Right Cuneus"
364,205,5,-62,32,"Focus point:  R_Area_7m","Focus point:  A31_right","Focus point:  Right Precuneus"
363,206,5,-51,24,"Focus point:  R_Area_ventral_23_a+b","Focus point:  A31_right","Focus point:  Right Precuneus"
357,207,5,-24,28,"Focus point:  R_RetroSplenial_Complex","Focus point:  A23d_right","* Within 2 mm: Right Middle Cingulate Cortex"
241,208,5,-23,70,"Focus point:  R_Primary_Motor_Cortex","Focus point:  A4ll_right","Focus point:  Right Paracentral Lobule"
317,209,5,22,-21,"Focus point:  R_Orbital_Frontal_Complex","Focus point:  A13_right","Focus point:  Right Rectal Gyrus"
373,210,5,24,19,"Focus point:  R_Area_33_prime","Focus point:  A24rv_right","Focus point:  Right Anterior Cingulate Cortex"
